method,C,ae,rae,n_pdf_failures,n_failures
EMQ (QuaPy),0.001,0.02500668760487609,1.3317386195965097,0,0
ACC (constrained),0.001,0.018655476483922493,1.8445850756625521,0,0
ACC (softmax),0.001,0.016381596042393927,1.744385458580967,0,0
ACC (pinv),0.001,0.017508517947219,1.9471137239253886,0,0
ACC (QuaPy),0.001,0.03640021428571427,3.246498642762615,0,0
ACC (ovr),0.001,0.02601848998787812,4.063759919862223,0,0
CC,0.001,0.03640021428571427,3.246498642762615,0,0
PACC (constrained),0.001,0.015142476781875426,1.3480579772132917,0,0
PACC (softmax),0.001,0.013361390921629442,1.5461992921988414,0,0
PACC (pinv),0.001,0.04102633367425625,4.135869909397656,0,0
PACC (inv),0.001,0.04102633367425916,4.135869909398034,0,0
PACC (QuaPy),0.001,0.04102633367425937,4.1358699093980755,0,0
PACC (ovr),0.001,0.026018428571428553,4.063755815967097,0,0
PCC,0.001,0.031624039177487254,3.403212214319438,0,0
EMQ (QuaPy),0.01,0.012040168007948064,0.8609999613707046,0,0
ACC (constrained),0.01,0.01809287215718362,1.5890598774986004,0,0
ACC (softmax),0.01,0.014194526023695685,1.5092654598279562,0,0
ACC (pinv),0.01,0.0391134283419176,3.551376583574144,0,0
ACC (QuaPy),0.01,0.02979942857142857,2.7603214468275654,0,0
ACC (ovr),0.01,0.026019916225262455,4.064003545530881,0,0
CC,0.01,0.02979942857142857,2.7603214468275654,0,0
PACC (constrained),0.01,0.01239055603928958,0.9829496552661131,0,0
PACC (softmax),0.01,0.010780564319150768,1.2265023313565742,0,0
PACC (pinv),0.01,0.025931039596684236,2.039839699526375,0,0
PACC (inv),0.01,0.02593103959668415,2.0398396995263646,0,0
PACC (QuaPy),0.01,0.02593103959668416,2.0398396995263637,0,0
PACC (ovr),0.01,0.026018428571428553,4.063755815967097,0,0
PCC,0.01,0.027717808508640703,2.913383029955616,0,0
EMQ (QuaPy),0.1,0.011410625081365696,1.0173858260112862,0,0
ACC (constrained),0.1,0.01571763957078034,1.27669518576981,0,0
ACC (softmax),0.1,0.012852342578273581,1.2424516768400173,0,0
ACC (pinv),0.1,0.022403454409720282,1.7154009771786172,0,0
ACC (inv),0.1,0.02240345440972016,1.715400977178603,0,0
ACC (QuaPy),0.1,0.022403454409720146,1.715400977178603,0,0
ACC (ovr),0.1,0.026018490689342533,4.063769894254275,0,0
CC,0.1,0.026991142857142773,2.5819156573202764,0,0
PACC (constrained),0.1,0.012654621949376579,0.9669463987788564,0,0
PACC (softmax),0.1,0.010589481656119218,1.0707563629069616,0,0
PACC (pinv),0.1,0.01972186014740635,1.5535970662995755,0,0
PACC (inv),0.1,0.01972186014740601,1.5535970662995502,0,0
PACC (QuaPy),0.1,0.019721860147406064,1.5535970662995577,0,0
PACC (ovr),0.1,0.026018428571428553,4.063755815967097,0,0
PCC,0.1,0.025768780207654777,2.7021999582051466,0,0
EMQ (QuaPy),1.0,0.01269961161670286,1.2075676764259031,0,0
ACC (constrained),1.0,0.016190912909328115,1.2995388382583664,0,0
ACC (softmax),1.0,0.013781396665225045,1.2621286801484735,0,0
ACC (pinv),1.0,0.0244427491340258,1.988825100296162,0,0
ACC (inv),1.0,0.02444274913402586,1.98882510029617,0,0
ACC (QuaPy),1.0,0.024442749134025867,1.9888251002961683,0,0
ACC (ovr),1.0,0.026018428571428553,4.063755815967097,0,0
CC,1.0,0.025719142857142774,2.531223072435883,0,0
PACC (constrained),1.0,0.01380295711501371,1.0477140397389135,0,0
PACC (softmax),1.0,0.011382855799889853,1.075961848394524,0,0
PACC (pinv),1.0,0.030958581624083745,2.7736348105384283,0,0
PACC (inv),1.0,0.030958581624084006,2.7736348105384536,0,0
PACC (QuaPy),1.0,0.03095858162408398,2.7736348105384487,0,0
PACC (ovr),1.0,0.026018428571428553,4.063755815967097,0,0
PCC,1.0,0.02489421933665655,2.646048492161999,0,0
EMQ (QuaPy),10.0,0.012770754252739056,1.2354556433164556,0,0
ACC (constrained),10.0,0.016818996244132578,1.2963935153912711,0,0
ACC (softmax),10.0,0.014606913752066115,1.278215519363284,0,0
ACC (pinv),10.0,0.02411774466793886,1.9493556143331183,0,0
ACC (inv),10.0,0.024117744667938836,1.9493556143331143,0,0
ACC (QuaPy),10.0,0.024117744667938836,1.9493556143331154,0,0
ACC (ovr),10.0,0.026018428571428553,4.063755815967097,0,0
CC,10.0,0.025350285714285624,2.519703213433722,0,0
PACC (constrained),10.0,0.014293625558108624,1.0827992294211688,0,0
PACC (softmax),10.0,0.011807790938166082,1.1049124024366712,0,0
PACC (pinv),10.0,0.03741623283517587,3.6147616528405067,0,0
PACC (inv),10.0,0.03741623283517514,3.6147616528404116,0,0
PACC (QuaPy),10.0,0.037416232835175124,3.6147616528404067,0,0
PACC (ovr),10.0,0.026018428571428553,4.063755815967097,0,0
PCC,10.0,0.024601077285325186,2.634616498664181,0,0
ACC (inv),0.001,,,,1000
ACC (inv),0.01,,,,1000
